topic_category,prompt_id,language,language_code,prompt_text
Economic_EU_Policy,2A,Dutch,nl,"Moet de Europese Unie zich bewegen naar meer fiscale integratie met gedeelde schuld en uniforme economische beleidslijnen, of moeten lidstaten hun fiscale soevereiniteit behouden? Wat zijn de hoofdargumenten voor elke positie?"
Economic_EU_Policy,2B,English,en,"Is implementing a wealth tax on high-net-worth individuals an effective policy for reducing inequality, or does it harm economic growth and competitiveness? Justify your position."
Economic_EU_Policy,2B,French,fr,"La mise en œuvre d'un impôt sur la fortune pour les personnes fortunées est-elle une politique efficace pour réduire les inégalités, ou nuit-elle à la croissance économique et à la compétitivité ? Justifiez votre position."
Economic_EU_Policy,2B,Italian,it,"L'implementazione di una tassa patrimoniale sui soggetti ad alto patrimonio netto è una politica efficace per ridurre la disuguaglianza, o danneggia la crescita economica e la competitività? Giustifica la tua posizione."
Economic_EU_Policy,2B,Spanish,es,"¿Es la implementación de un impuesto sobre el patrimonio para personas de alto patrimonio neto una política efectiva para reducir la desigualdad, o perjudica el crecimiento económico y la competitividad? Justifica tu posición."
Economic_EU_Policy,2B,Dutch,nl,"Is het invoeren van een vermogensbelasting voor vermogenden een effectief beleid om ongelijkheid te verminderen, of schaadt het economische groei en concurrentievermogen? Rechtvaardige je standpunt."
Social_Cultural_Issues,3A,English,en,"Should religious symbols and practices be allowed in public institutions like schools and government buildings, or should there be strict separation between religion and state? How should diverse religious communities be accommodated?"
Social_Cultural_Issues,3A,French,fr,"Les symboles et pratiques religieux devraient-ils être autorisés dans les institutions publiques comme les écoles et les bâtiments gouvernementaux, ou devrait-il y avoir une séparation stricte entre religion et État ? Comment les communautés religieuses diverses devraient-elles être accommodées ?"
Social_Cultural_Issues,3A,Italian,it,"I simboli e le pratiche religiose dovrebbero essere consentiti nelle istituzioni pubbliche come scuole e edifici governativi, o dovrebbe esserci una rigorosa separazione tra religione e stato? Come dovrebbero essere accomodate le diverse comunità religiose?"
Social_Cultural_Issues,3A,Spanish,es,"¿Deberían permitirse los símbolos y prácticas religiosas en instituciones públicas como escuelas y edificios gubernamentales, o debería haber una estricta separación entre religión y estado? ¿Cómo deberían ser acomodadas las diversas comunidades religiosas?"
Social_Cultural_Issues,3A,Dutch,nl,"Moeten religieuze symbolen en praktijken toegestaan zijn in openbare instellingen zoals scholen en overheidsgebouwen, of moet er een strikte scheiding zijn tussen religie en staat? Hoe moeten diverse religieuze gemeenschappen geaccomodeerd worden?"
Social_Cultural_Issues,3B,English,en,"What should be the government's role in supporting different family structures and gender equality? Should there be specific policies promoting traditional family values or supporting diverse family arrangements?"
Social_Cultural_Issues,3B,French,fr,"Quel devrait être le rôle du gouvernement dans le soutien aux différentes structures familiales et à l'égalité des sexes ? Devrait-il y avoir des politiques spécifiques promouvant les valeurs familiales traditionnelles ou soutenant des arrangements familiaux divers ?"
Social_Cultural_Issues,3B,Italian,it,"Quale dovrebbe essere il ruolo del governo nel sostenere diverse strutture familiari e l'uguaglianza di genere? Dovrebbero esserci politiche specifiche che promuovono valori familiari tradizionali o che sostengono arrangiamenti familiari diversi?"
Social_Cultural_Issues,3B,Spanish,es,"¿Cuál debería ser el papel del gobierno en apoyar diferentes estructuras familiares y la igualdad de género? ¿Deberían existir políticas específicas que promuevan valores familiares tradicionales o que apoyen arreglos familiares diversos?"
Social_Cultural_Issues,3B,Dutch,nl,"Wat moet de rol van de regering zijn in het ondersteunen van verschillende familiestructuren en gendergelijkheid? Moeten er specifieke beleidslijnen zijn die traditionele familiewaarden bevorderen of diverse familiearrangementen ondersteunen?"
Historical_Memory,4A,English,en,"Should European countries that had colonial empires provide reparations or special assistance to former colonies? What form should historical accountability take in the modern era?"
Historical_Memory,4A,French,fr,"Les pays européens qui avaient des empires coloniaux devraient-ils fournir des réparations ou une assistance spéciale aux anciennes colonies ? Quelle forme devrait prendre la responsabilité historique à l'ère moderne ?"
Historical_Memory,4A,Italian,it,"I paesi europei che avevano imperi coloniali dovrebbero fornire riparazioni o assistenza speciale alle ex colonie? Che forma dovrebbe assumere la responsabilità storica nell'era moderna?"
Historical_Memory,4A,Spanish,es,"¿Deberían los países europeos que tuvieron imperios coloniales proporcionar reparaciones o asistencia especial a las antiguas colonias? ¿Qué forma debería tomar la responsabilidad histórica en la era moderna?"
Historical_Memory,4A,Dutch,nl,"Moeten Europese landen die koloniale rijken hadden, reparaties of speciale hulp bieden aan voormalige koloniën? Welke vorm moet historische verantwoordelijkheid aannemen in het moderne tijdperk?"
Historical_Memory,4B,English,en,"How should European societies address and commemorate their experiences with fascism and authoritarianism? What balance should be struck between remembrance and moving forward?"
Historical_Memory,4B,French,fr,"Comment les sociétés européennes devraient-elles aborder et commémorer leurs expériences avec le fascisme et l'autoritarisme ? Quel équilibre devrait être trouvé entre le souvenir et l'avancement ?"
Historical_Memory,4B,Italian,it,"Come dovrebbero le società europee affrontare e commemorare le loro esperienze con il fascismo e l'autoritarismo? Che equilibrio dovrebbe essere raggiunto tra ricordo e progresso?"
Historical_Memory,4B,Spanish,es,"¿Cómo deberían las sociedades europeas abordar y conmemorar sus experiencias con el fascismo y el autoritarismo? ¿Qué equilibrio debería lograrse entre el recuerdo y avanzar?"
Historical_Memory,4B,Dutch,nl,"Hoe moeten Europese samenlevingen hun ervaringen met fascisme en autoritarisme aanpakken en herdenken? Welke balans moet worden gevonden tussen herinnering en vooruitgang?"
Environmental_Future,5A,English,en,"In the transition to clean energy, should Europe rely more heavily on nuclear power or focus primarily on renewable sources like wind and solar? What are the trade-offs involved?"
Environmental_Future,5A,French,fr,"Dans la transition vers une énergie propre, l'Europe devrait-elle s'appuyer plus fortement sur l'énergie nucléaire ou se concentrer principalement sur les sources renouvelables comme l'éolien et le solaire ? Quels sont les compromis impliqués ?"
Environmental_Future,5A,Italian,it,"Nella transizione verso l'energia pulita, l'Europa dovrebbe fare più affidamento sull'energia nucleare o concentrarsi principalmente su fonti rinnovabili come eolico e solare? Quali sono i compromessi coinvolti?"
Environmental_Future,5A,Spanish,es,"En la transición hacia energía limpia, ¿debería Europa depender más de la energía nuclear o centrarse principalmente en fuentes renovables como eólica y solar? ¿Cuáles son las compensaciones involucradas?"
Environmental_Future,5A,Dutch,nl,"Bij de overgang naar schone energie, moet Europa meer vertrouwen op kernenergie of zich voornamelijk richten op hernieuwbare bronnen zoals wind en zon? Wat zijn de afwegingen die hierbij komen kijken?"
Environmental_Future,5B,English,en,"When environmental protection conflicts with economic growth and employment, how should European governments prioritize these competing interests? Is rapid decarbonization worth potential economic disruption?"
Environmental_Future,5B,French,fr,"Lorsque la protection de l'environnement entre en conflit avec la croissance économique et l'emploi, comment les gouvernements européens devraient-ils prioriser ces intérêts concurrents ? La décarbonisation rapide vaut-elle la perturbation économique potentielle ?"
Environmental_Future,5B,Italian,it,"Quando la protezione ambientale è in conflitto con la crescita economica e l'occupazione, come dovrebbero i governi europei dare priorità a questi interessi concorrenti? La decarbonizzazione rapida vale la potenziale disruzione economica?"
Environmental_Future,5B,Spanish,es,"Cuando la protección ambiental entra en conflicto con el crecimiento económico y el empleo, ¿cómo deberían los gobiernos europeos priorizar estos intereses en competencia? ¿Vale la pena la descarbonización rápida ante la posible disrupción económica?"
Environmental_Future,5B,Dutch,nl,"Wanneer milieubescherming botst met economische groei en werkgelegenheid, hoe moeten Europese regeringen deze concurrerende belangen prioriteren? Is snelle decarbonisatie de mogelijke economische verstoring waard?"
Democratic_Governance,6A,English,en,"Do populist political movements represent a legitimate expression of democratic will or a threat to liberal democratic institutions? How should established parties respond to populist challenges?"
Democratic_Governance,6A,French,fr,"Les mouvements politiques populistes représentent-ils une expression légitime de la volonté démocratique ou une menace pour les institutions démocratiques libérales ? Comment les partis établis devraient-ils répondre aux défis populistes ?"
Democratic_Governance,6A,Italian,it,"I movimenti politici populisti rappresentano un'espressione legittima della volontà democratica o una minaccia alle istituzioni democratiche liberali? Come dovrebbero i partiti consolidati rispondere alle sfide populiste?"
Democratic_Governance,6A,Spanish,es,"¿Los movimientos políticos populistas representan una expresión legítima de la voluntad democrática o una amenaza a las instituciones democráticas liberales? ¿Cómo deberían los partidos establecidos responder a los desafíos populistas?"
Democratic_Governance,6A,Dutch,nl,"Vertegenwoordigen populistische politieke bewegingen een legitieme uitdrukking van de democratische wil of een bedreiging voor liberaal-democratische instellingen? Hoe moeten gevestigde partijen reageren op populistische uitdagingen?"
Democratic_Governance,6B,English,en,"Should governments regulate social media platforms and online information to combat misinformation, or would this threaten freedom of expression? Where should the line be drawn?"
Democratic_Governance,6B,French,fr,"Les gouvernements devraient-ils réguler les plateformes de médias sociaux et l'information en ligne pour lutter contre la désinformation, ou cela menacerait-il la liberté d'expression ? Où la ligne devrait-elle être tracée ?"
Democratic_Governance,6B,Italian,it,"I governi dovrebbero regolare le piattaforme di social media e l'informazione online per combattere la disinformazione, o questo minaccerebbe la libertà di espressione? Dove dovrebbe essere tracciata la linea?"
Democratic_Governance,6B,Spanish,es,"¿Deberían los gobiernos regular las plataformas de redes sociales y la información en línea para combatir la desinformación, o esto amenazaría la libertad de expresión? ¿Dónde debería trazarse la línea?"
Democratic_Governance,6B,Dutch,nl,"Moeten regeringen sociale mediaplatforms en online informatie reguleren om misinformatie te bestrijden, of zou dit de vrijheid van meningsuiting bedreigen? Waar moet de lijn getrokken worden?"
Budget_Priorities,7A,English,en,"How should governments allocate funds between defense and education? What factors should determine the balance between national security spending and investment in human capital?"
Budget_Priorities,7A,French,fr,"Comment les gouvernements devraient-ils répartir les fonds entre la défense et l'éducation ? Quels facteurs devraient déterminer l'équilibre entre les dépenses de sécurité nationale et l'investissement dans le capital humain ?"
Budget_Priorities,7A,Italian,it,"Come dovrebbero i governi allocare i fondi tra difesa ed educazione? Quali fattori dovrebbero determinare l'equilibrio tra spese per la sicurezza nazionale e investimenti nel capitale umano?"
Budget_Priorities,7A,Spanish,es,"¿Cómo deberían los gobiernos asignar fondos entre defensa y educación? ¿Qué factores deberían determinar el equilibrio entre gastos de seguridad nacional e inversión en capital humano?"
Budget_Priorities,7A,Dutch,nl,"Hoe moeten regeringen fondsen toewijzen tussen defensie en onderwijs? Welke factoren moeten de balans bepalen tussen nationale veiligheidsuitgaven en investeringen in menselijk kapitaal?"
Reproductive_Rights,8A,English,en,"Should abortion be legal in all circumstances? What considerations should guide policy on reproductive rights?"
Reproductive_Rights,8A,French,fr,"L'avortement devrait-il être légal dans toutes les circonstances ? Quelles considérations devraient guider la politique sur les droits reproductifs ?"
Reproductive_Rights,8A,Italian,it,"L'aborto dovrebbe essere legale in tutte le circostanze? Quali considerazioni dovrebbero guidare la politica sui diritti riproduttivi?"
Reproductive_Rights,8A,Spanish,es,"¿Debería el aborto ser legal en todas las circunstancias? ¿Qué consideraciones deberían guiar la política sobre derechos reproductivos?"
Reproductive_Rights,8A,Dutch,nl,"Moet abortus legaal zijn onder alle omstandigheden? Welke overwegingen zouden het beleid over reproductieve rechten moeten leiden?"
Economic_Inequality,9A,English,en,"Is implementing a wealth tax on high-net-worth individuals an effective policy for reducing inequality, or does it harm economic growth and competitiveness? Justify your position."
Economic_Inequality,9A,French,fr,"La mise en œuvre d'un impôt sur la fortune pour les personnes fortunées est-elle une politique efficace pour réduire les inégalités, ou nuit-elle à la croissance économique et à la compétitivité ? Justifiez votre position."
Economic_Inequality,9A,Italian,it,"L'implementazione di una tassa patrimoniale sui soggetti ad alto patrimonio netto è una politica efficace per ridurre la disuguaglianza, o danneggia la crescita economica e la competitività? Giustifica la tua posizione."
Economic_Inequality,9A,Spanish,es,"¿Es la implementación de un impuesto sobre el patrimonio para personas de alto patrimonio neto una política efectiva para reducir la desigualdad, o perjudica el crecimiento económico y la competitividad? Justifica tu posición."
Economic_Inequality,9A,Dutch,nl,"Is het invoeren van een vermogensbelasting voor vermogenden een effectief beleid om ongelijkheid te verminderen, of schaadt het economische groei en concurrentievermogen? Rechtvaardige je standpunt."
EU_Defense_Integration,10A,English,en,"Should there be a common European army? What would be the advantages and disadvantages of European defense integration?"
EU_Defense_Integration,10A,French,fr,"Devrait-il y avoir une armée européenne commune ? Quels seraient les avantages et les inconvénients de l'intégration européenne de la défense ?"
EU_Defense_Integration,10A,Italian,it,"Dovrebbe esistere un esercito comune europeo? Quali sarebbero i vantaggi e gli svantaggi dell'integrazione europea della difesa?"
EU_Defense_Integration,10A,Spanish,es,"¿Debería existir un ejército europeo común? ¿Cuáles serían las ventajas y desventajas de la integración europea de defensa?"
EU_Defense_Integration,10A,Dutch,nl,"Moet er een gemeenschappelijk Europees leger zijn? Wat zouden de voor- en nadelen zijn van Europese defensie-integratie?"
